Scenario,Nadir_improvement_Hz,BESS_peak_MW,BESS_power_at_200ms_MW,Time_to_99pct_Pmax_s,Energy_to_nadir_MWh,Energy_over_10s_MWh,SOC_drop_percentage_points,Saturation_duration_s
A,1.615424961019336,199.99999999999966,199.92653381194495,0.11760000000000001,0.14112098152743754,0.4982751836505617,0.2622500967354946,4.2504
B,1.6156826304617198,199.99999999999966,199.92897201164217,0.11680000000000001,0.14355522573995347,0.5147291314006984,0.2709100691955624,5.4938
C,1.6157326517162005,199.99999999999966,199.49722090846853,0.16580000000000003,0.1441058462573651,0.5014885649392221,0.2639413500437615,4.6562
