Scenario,Mode,nadir_Hz,nadir_time_s,RoCoF_200ms_Hz_s,dVdc_peak_kV,dVdc_peak_pct,threshold_49Hz_crossed,recovery_49p5_s
A,GFL,47.737454435464926,2.6376,-1.5301416216132764,-9.333333333333314,-2.9166666666666607,True,6.267600000000001
A,GFM+BESS,49.35287939648426,2.5676,-0.5929482605946691,-5.883916720944342,-1.8387239752951068,False,4.0868
B,GFL,46.767792050664085,2.6376,-2.1859166023162455,-13.333333333333314,-4.166666666666661,True,6.616600000000001
B,GFM+BESS,48.383474681125804,2.6106000000000003,-1.2440825089607235,-9.22316637980282,-2.882239493688381,True,5.8852
C,GFL,47.576098226740996,2.6878,-1.2120883571222683,-10.0,-3.125,True,6.390200000000001
C,GFM+BESS,49.191830878457196,2.6584,-0.4867803799480119,-4.575725131199135,-1.4299141034997298,False,4.746600000000001
