dt_s,max_nadir_error_Hz,max_RoCoF_error_Hz_s,max_dVdc_error_kV
0.001,1.4623294219973104e-07,0.0021604912047790137,0.0005481673387635055
0.0005,3.5354325689240795e-08,0.001047237292993497,9.379659314845412e-05
0.0002,7.328168294407078e-09,0.0003760563616395096,3.380457155799377e-05
