BESS_rating_MW,Nadir_Hz,abs_RoCoF_Hz_s,dVdc_peak_kV,Actual_peak_BESS_MW,Energy_10s_MWh
200,48.383474671693904,1.2443661776638364,-9.22324903228025,199.9999999999993,0.5147333281552372
210,48.46424012991468,1.1977775343617036,-9.106609678494976,209.9999999999993,0.5387248436672883
220,48.545001632283864,1.1512322395265315,-8.996018128584751,219.9999999999993,0.5625395184602037
230,48.625758273177574,1.1047712049303515,-8.891679001319403,229.9999999999993,0.5861505937167056
240,48.70650932562945,1.0583550901671366,-8.792410840400692,239.9999999999993,0.6095256526597934
250,48.7872535236766,1.012008877354125,-8.698686574024862,249.9999999999993,0.6326226586019733
260,48.867989406279776,0.9657242606124612,-8.610159442386646,259.9999999999986,0.6553877078766303
270,48.94871498831298,0.9195052811266319,-8.526751347858806,269.9999999999986,0.6777492961044949
280,49.0294275995835,0.8733583178557813,-8.44840950184306,279.9999999999986,0.6996101368378085
290,49.110065508044954,0.8306382695050383,-8.374781291805903,289.9999999999986,0.7207759114723126
300,49.189879370791054,0.8152633916000016,-8.305802471603272,299.9999999999986,0.7403897397881646
310,49.26807962959046,0.8049255086509769,-8.241119072416609,309.9999999999986,0.7578830579620719
320,49.34287805916638,0.7966894608237586,-8.180437065466094,319.9999999999986,0.7722618708328413
330,49.40953005943164,0.7898689585653372,-8.12507902668898,329.9999999999986,0.7816710389531621
340,49.42211372419943,0.7840890222335848,-8.073147482033733,334.50385158238987,0.7833341033767647
350,49.422118469712366,0.7791419294297649,-8.025304960405037,334.50091839820635,0.7834007834603793
360,49.42212235508337,0.7748588046481297,-7.982096769226018,334.49851488913066,0.7834586521092247
